Date,Close
16-Mar-20,32.23
17-Mar-20,35.51
18-Mar-20,33.68
19-Mar-20,33.25
20-Mar-20,34.61
23-Mar-20,37.54
24-Mar-20,43
25-Mar-20,44.66
26-Mar-20,44.74
27-Mar-20,42.16
30-Mar-20,43.04
31-Mar-20,41.69
01-Apr-20,38.47
02-Apr-20,34.63
03-Apr-20,35.77
06-Apr-20,39.27
07-Apr-20,37.85
08-Apr-20,41.45
09-Apr-20,41.77
13-Apr-20,44.75
14-Apr-20,49.61
15-Apr-20,49.72
16-Apr-20,52.64
17-Apr-20,59.04
20-Apr-20,62.99
21-Apr-20,58.5
22-Apr-20,62.66
23-Apr-20,62.05
24-Apr-20,64.32
27-Apr-20,62.86
28-Apr-20,63.37
29-Apr-20,64
30-Apr-20,63.23
01-May-20,61.36
04-May-20,65.89
05-May-20,68.61
06-May-20,73.35
07-May-20,72.28
08-May-20,70.9
11-May-20,75.03
12-May-20,74.23
13-May-20,75.44
14-May-20,75.43
15-May-20,76.7
18-May-20,73.8
19-May-20,75.3
20-May-20,77.8
21-May-20,80.24
22-May-20,82.52
26-May-20,76.79
27-May-20,75
28-May-20,74.44
29-May-20,75.78
01-Jun-20,75.8
02-Jun-20,77.95
03-Jun-20,76.2
04-Jun-20,73.52
05-Jun-20,72.78
08-Jun-20,73.07
09-Jun-20,74.17
10-Jun-20,74.36
11-Jun-20,72.51
12-Jun-20,74.26
15-Jun-20,80.55
16-Jun-20,80.58
17-Jun-20,81.74
18-Jun-20,86.36
19-Jun-20,88.1
22-Jun-20,90.48
23-Jun-20,91.13
24-Jun-20,89.7
25-Jun-20,91.63
26-Jun-20,91
29-Jun-20,92.24
30-Jun-20,94.92
01-Jul-20,101.66
02-Jul-20,103
06-Jul-20,98.68
07-Jul-20,101.4
08-Jul-20,101.73
09-Jul-20,104
10-Jul-20,103.19
13-Jul-20,96.88
14-Jul-20,97.44
15-Jul-20,95.95
16-Jul-20,92.55
17-Jul-20,92.81
20-Jul-20,100.94
21-Jul-20,95.28
22-Jul-20,95.73
23-Jul-20,92.84
24-Jul-20,92.98
27-Jul-20,97.64
28-Jul-20,98.5
29-Jul-20,105.36
30-Jul-20,104.88
31-Jul-20,102.4
03-Aug-20,108.31
04-Aug-20,108
05-Aug-20,109.47
06-Aug-20,108.81
07-Aug-20,105.31
10-Aug-20,100.56
11-Aug-20,97.2
12-Aug-20,99.1
13-Aug-20,99.99
14-Aug-20,98.79
17-Aug-20,101.3
18-Aug-20,102.47
19-Aug-20,100.91
20-Aug-20,103.96
21-Aug-20,102.11
24-Aug-20,99.93
25-Aug-20,103.72
26-Aug-20,108.93
27-Aug-20,105.35
28-Aug-20,104.21
31-Aug-20,106.64
01-Sep-20,113.43
02-Sep-20,107.46
03-Sep-20,101.57
04-Sep-20,97.3
08-Sep-20,91.74
09-Sep-20,94.93
10-Sep-20,93.42
11-Sep-20,91.45
14-Sep-20,93.18
15-Sep-20,92.94
16-Sep-20,88.52
17-Sep-20,87.08
18-Sep-20,90.13
21-Sep-20,92.79
22-Sep-20,95.43
23-Sep-20,91.88
24-Sep-20,90.86
25-Sep-20,96.09
28-Sep-20,96.65
29-Sep-20,102.57
30-Sep-20,102.3
01-Oct-20,105.44
02-Oct-20,102.9
05-Oct-20,106.55
06-Oct-20,104.13
07-Oct-20,107.34
08-Oct-20,106.92
09-Oct-20,109.6
12-Oct-20,109
13-Oct-20,110.66
14-Oct-20,108.21
15-Oct-20,107.83
16-Oct-20,106.72
19-Oct-20,106.9
20-Oct-20,105.65
21-Oct-20,102.2
22-Oct-20,100.71
23-Oct-20,102.62
26-Oct-20,103.81
27-Oct-20,108.29
28-Oct-20,102.67
29-Oct-20,97.7
30-Oct-20,92.54
02-Nov-20,91.5
03-Nov-20,94.17
04-Nov-20,99.6
05-Nov-20,103.65
06-Nov-20,104.5
09-Nov-20,90.26
10-Nov-20,88.58
11-Nov-20,94.72
12-Nov-20,92.58
13-Nov-20,91.83
16-Nov-20,91.92
17-Nov-20,91.4
18-Nov-20,93.14
19-Nov-20,96.68
20-Nov-20,98.85
23-Nov-20,98
24-Nov-20,97.12
25-Nov-20,101.95
27-Nov-20,103.44
30-Nov-20,109.04
01-Dec-20,106.91
02-Dec-20,107.94
03-Dec-20,106.27
04-Dec-20,105.39
07-Dec-20,108.44
08-Dec-20,110.21
09-Dec-20,103.82
10-Dec-20,106.74
11-Dec-20,105.79
14-Dec-20,105.92
15-Dec-20,107.41
16-Dec-20,115.73
17-Dec-20,118
18-Dec-20,117.1
21-Dec-20,119.73
22-Dec-20,127.71
23-Dec-20,119.8
24-Dec-20,122.55
28-Dec-20,114.71
29-Dec-20,117.16
30-Dec-20,116.3
31-Dec-20,113.2
04-Jan-21,109.24
05-Jan-21,111.87
06-Jan-21,108.73
07-Jan-21,115.95
08-Jan-21,118.89
11-Jan-21,117.76
12-Jan-21,118.82
13-Jan-21,119.98
14-Jan-21,117.89
15-Jan-21,117.05
19-Jan-21,117.4
20-Jan-21,120.1
21-Jan-21,119.82
22-Jan-21,119.67
25-Jan-21,120.59
26-Jan-21,115.98
27-Jan-21,109.21
28-Jan-21,112.06
29-Jan-21,109.86
01-Feb-21,114.49
02-Feb-21,123.54
03-Feb-21,122.42
04-Feb-21,126.09
05-Feb-21,128.78
08-Feb-21,134.51
09-Feb-21,143.3
10-Feb-21,146.24
11-Feb-21,146.33
12-Feb-21,145.55
16-Feb-21,147.4
17-Feb-21,142.5
18-Feb-21,138.46
19-Feb-21,143.5
22-Feb-21,138.13
23-Feb-21,130.02
24-Feb-21,130.12
25-Feb-21,124.51
26-Feb-21,128.1
01-Mar-21,130.99
02-Mar-21,130.91
03-Mar-21,122.03
04-Mar-21,114.94
05-Mar-21,113.1
08-Mar-21,107.24
09-Mar-21,113.07
10-Mar-21,108.79
11-Mar-21,114.22
12-Mar-21,114.06
15-Mar-21,115.9
16-Mar-21,114.32
17-Mar-21,116.92
18-Mar-21,111.71
19-Mar-21,112.1
22-Mar-21,116
23-Mar-21,116.2
24-Mar-21,110.6
25-Mar-21,106.17
26-Mar-21,106.52
29-Mar-21,103.99
30-Mar-21,104.87
31-Mar-21,110.65
01-Apr-21,115.54
05-Apr-21,114.6
06-Apr-21,115.61
07-Apr-21,115.95
08-Apr-21,122.27
09-Apr-21,122.73
12-Apr-21,120.2
13-Apr-21,124.15
14-Apr-21,117.99
15-Apr-21,120.83
16-Apr-21,120.78
19-Apr-21,114.58
20-Apr-21,112.3
21-Apr-21,114.21
22-Apr-21,109.66
23-Apr-21,109.9
26-Apr-21,116.6
27-Apr-21,115.69
28-Apr-21,128.88
29-Apr-21,123.31
30-Apr-21,118.25
03-May-21,112.2
04-May-21,114.29
05-May-21,112.04
06-May-21,109.09
07-May-21,110.86
10-May-21,108.02
11-May-21,111.02
12-May-21,108.39
13-May-21,104.78
14-May-21,108.5
17-May-21,109.64
18-May-21,113.34
19-May-21,117.04
20-May-21,121.49
21-May-21,122.41
24-May-21,126.14
25-May-21,124
26-May-21,123.88
27-May-21,124.08
28-May-21,124.29
01-Jun-21,125.16
02-Jun-21,122.96
03-Jun-21,119.9
04-Jun-21,120.57
07-Jun-21,123.06
08-Jun-21,123.07
09-Jun-21,121.56
10-Jun-21,123.11
11-Jun-21,124.7
14-Jun-21,130.66
15-Jun-21,132.11
16-Jun-21,136.63
17-Jun-21,144.93
18-Jun-21,146.69
21-Jun-21,148.02
22-Jun-21,150.84
23-Jun-21,150.05
24-Jun-21,147.9
25-Jun-21,147.35
28-Jun-21,149.5
29-Jun-21,148.3
30-Jun-21,146.1
01-Jul-21,145.8
02-Jul-21,146.48
06-Jul-21,153.8
07-Jul-21,152.02
08-Jul-21,146.33
09-Jul-21,149.5
12-Jul-21,149.47
13-Jul-21,151.65
14-Jul-21,146.3
